pos,resource,type,match,cost,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
168.1,1178,Q,69.310246,31.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169.1,102,Q,77.926728,23.0, , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1
170.1,1224,Q,66.436602,34.0, , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1
171.1,46,Q,69.498783,31.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172.1,876,Q,67.730669,33.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173.1,265,Q,68.454743,32.0, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174.1,24,Q,70.490534,30.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175.1,636,Q,66.784072,34.0, , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176.1,880,Q,67.027623,33.0, , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1
177.1,203,Q,67.308687,33.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178.1,703,Q,66.95564,34.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179.1,576,Q,68.159004,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
